,artist_name,track_name,release_date,genre,lyrics,len
15549,hot chip,the warning,2006,pop,excuse lose look place lose look home malfunction look mechanical music museum warn spell warn spell excuse miss heat complicate songs poor starve baby march night mechanical music start break legs snap head grind excuse child try colour wonder brightness return nothingness enjoy right prepare mechanical fright warn spell warn spell break legs snap head grind break legs snap head grind excuse look place world break silence speak break legs snap head grind break legs snap head grind,78
15550,dave matthews band,american baby,2006,pop,wall come crumble fell hard lose leave figure lemonade taste like stay beautiful baby stay american baby american baby laugh lose devil proud walk thousand time smile hold hold bring soon afraid lose hold lift light leave stay american baby beautiful baby laugh laugh loud stay american baby american baby stay american baby american baby,55
15551,the bouncing souls,lean on sheena,2006,pop,intimidate mother say wouldn phone intoxicate past point know go better forget leave key hop go corner dark knock makers scrounge dollars lean lean hold hold hold intimidate feel worse hear come later upstairs neighbor bang floor better forget leave key hop go corner dark knock makers scrounge dollars lean lean hold hold hold hold intimidate mother say wouldn phone intoxicate past point know go better forget leave key hop go corner dark knock makers scrounge dollars lean lean hold hold hold lean lean hold hold hold hold better forget grab key goodbye corner friend come mind heart lean lean lean lean hold hold hold,105
15552,saosin,voices,2006,pop,miss move forward maybe someday know tell cloud wait body reentry speak different voice fight ones love speak different voice think miss part tell bless forget say tell cloud wait body reentry speak different voice fight ones love speak different voice think tell speak different voice fight ones love speak different voice things know real speak different voice fight ones love speak different voice think speak different voice fight love speak different voice speak different voice know real real,79
15553,"tito ""el bambino""",flow natural,2006,pop,feat deevani beenie pehen chola jawaani waala pehen chola jawaani waala badla mera ring hoye hoye chadh gayi chadh gayi chadh gayi chadh gayi sintiendo cuerpo piel quema baila mueve seran ojos ciegan baila mueve jamaica presela puerto rico velan pelean noche entera cuerpo desean piel canela ellos supieran modelas desde llegaste igual desde llegaste igual amor dame amor vayas amor dame amor todo acaba pehen chola jawaani waala pehen chola jawaani waala badla mera ring hoye hoye chadh gayi chadh gayi chadh gayi chadh gayi see body know perfil like somebody gyal tummy cyann dally puerto rico back spear ready chary load jummy jamaican world aqui gwaan shift proppa ready attack gwaan gyal runny runny reggaeton marathon gyal gwaan claim monna cyaan crown walk reel onnu assalt pity lika jummy gwaan go speed bummy jeez come throb gwaan life mami danzar reggaeton bambino longside beenie song everybody hear comeonnon flow bien natural bambino longside beenie song everybody hear comeonnon,160
15555,lil scrappy,money in the bank (feat. young buck),2006,pop,cash register ring sale scrappy okaykaykaykayyy scrappy money money bank gunit money bank shawty drink scrappy dough fuck hoe young ladied know know scrappy massage couple menage tryin hard nigga start doin shit morgue paper mega fuckin watts pullin knot yacht hold baby knees cheese extra weed money long like sleeves nigga creep extra heat bank account chaching large nigga wanna talk nigga bounce bounce outside nigga fuck fallin killers club ballin bigger stack young step go murciélago lemme roll drive time buy clean paint look like lemonlime wanna shine hard grind bankroll wallet credit card cigars dirty south tat country say like talk hoe club goin crazy throwin stack gunit south yeah tell bring atown stompin atown reppin tennessee like homey project bout homeboy scrappy beat dice yeah cool cause scrappy bigass squad stop niggas watch rise shit sell shit flop bigass family stop niggas watch rise shit sell shit flop,152
15558,dem franchize boyz,i think they like me,2006,pop,niggas like haters want fight niggas come night switch kuff tightly right thing like superclean jeans white niggas round soft like niggas want bite figure like niggas shin like light niggas talk bout muthafuckin throwback real know sell step niggas like muthafuckin door scene picture kodak hoe goin crazy like think need prozac hottest thing rockin bitch chosed want stackin face spend think like haters want fight snatch nigga nigga bust tshirt stravaganza franchize white boyz self self pay latch white ashy black shirt throwback sport jersey sike cash ride nice peace piece straight like hear pimpin playa shine brightly stand close vision respect squad touch role carpet high barretas count cheddar transedda franchize niggga muthafuckin fight shit grab grab pipe wrong right,123
15559,birdman,leather so soft,2006,pop,leather soft soft probably niggas soft hard bitch hard say leather soft soft probably niggas soft hard bitch hard money fuck talkin bout straight slaughterhouse straight dragon mouth tire standin coupe look pigeontoed different mode different hoe mean different hoe mean weezy bumbaclot different hoe terrific go kiss mistletoes diamonds pearl pussy hoe snortin coke nose bleed sittin high inch nosebleeds paper toe bleed beat soul bleed head watch hole bleed like hoe bleed coldbleed mean cold blood southern leather soft soft bush nigga purple like kush nigga high money nigga cook nigga crook nigga fuckin crook nigga know bout money stackin like book nigga know nigga teardrops true nigga stay ride coupes nigga roll corniches asses beach blowin drivin foreign feature higher nigga know bout cheddar nigga know give young hear come daddy paper come gotta money cause wasn bear baby hospital city pity drop game everybody try ball small hand touch large hand mothafuckin stunna nigga ball fall dawgs ball fall ball fall nigga ball fall nigga early paint everytime touch stay cock cause good firin mine alligator suede ridin,182
15561,three days grace,it's all over,2006,pop,bottle know mind race needle break skin scar sink begin edge fall edge fall know run blood vain mind race get skin give begin edge fall edge fall dead inside wonder dead inside wonder dead inside wonder edge fall dead inside wonder edge fall dead inside wonder,47
15564,afi,prelude 12/21,2006,pop,bring bring forget promise depart promise thing kiss eye sleep bring bring forget promise heart promise sing kiss eye sleep kiss eye sleep think think need think think naive promise heart promise kiss eye sleep kiss eye sleep kiss eye sleep,41
