,artist_name,track_name,release_date,genre,lyrics,len
17881,fall out boy,just one yesterday,2013,pop,think angels choke halos drink water dirty pull fragile teeth clip tiny wing hold hold hold heaven grief bring hell rain trade tomorrows yesterday know news yesterday save want teach lesson worst kind trade tomorrows yesterday know news yesterday save yesterday let people thing baby right right look twice heart hold hold hold heaven grief bring hell rain trade tomorrows yesterday know news yesterday save want teach lesson worst kind trade tomorrows yesterday know news yesterday save yesterday spill gut world look whoaohohohoh watch face away whoaohohohoh heaven grief bring hell rain trade tomorrows yesterday know news yesterday save want teach lesson worst kind trade tomorrows yesterday know news yesterday save yesterday,112
17888,a day to remember,"sometimes you're the hammer, sometimes you're the nail",2013,pop,start wanna away away till stumble wanna away away till stumble carry away fear set instant get expose weakest scar tell truth tend best go wrong songs cause feel wanna away away till stumble wrong nights long wanna away carry away lately care say ones listen like gonna respect come leave regret days doubt leave sadness lead wanna away away till stumble wrong nights long wanna away carry away reserve right feel uncomfortable reserve right afraid mistake humble step want better person wanna know master plan cast stone cast judgment reserve right feel uncomfortable reserve right afraid mistake humble step want better person wanna know master plan cast stone cast judgment help help forget lose nerve miss point help open hand feel burden yeah stand close distance,127
17890,the head and the heart,let's be still,2013,pop,lose music hours lose room play music hours hours come soon world spin little fast things slow soon moment lose music hours lose room play music hours hours come soon world forgive fear days turn months months turn years moment tear rebuild time circle mind moment moment moment moment moment moment world spin little fast things slow soon world forgive fear days turn months months turn years moment moment moment moment moment moment moment,74
17893,julia sheer,little talks,2013,pop,listen word scream sound truth vary ship body safe shore like walk house hold hand walk dear stairs creak sleep keep awake house tell close eye days trust kill cause truth vary ship body safe shore voice head hold tell miss little talk soon bury past play outside young life days know wrong right mind play trick dear cause truth vary ship body safe shore listen word scream sound truth vary ship body safe shore go go go away watch disappear leave ghost tear tear tear apart meet soon hang fall asleep listen word scream sound truth vary ship body safe shore listen word scream sound truth vary ship body safe shore truth vary ship body safe shore,118
17902,justin timberlake,not a bad thing,2013,pop,say want tomorrow tomorrow maybe borrow heart sunday throw start know people promise time turn right break cut heart open knife bleed heal time stop believe cause baby like thing fall cause fuck dream come true spend time money free like thing fall thing fall fall yeah voice hear tonight night rest nights morning wanna star star cause know good place start know people promise time turn right break cut heart open knife bleed know heal time stop believe cause baby like thing fall cause fuck dream come true spend time money free like thing fall thing fall thing fall thing fall mind break promise waste time fall land right arm arm like thing fall cause fuck dream come true spend time money free like thing fall thing fall thing fall,131
17906,travis scott,upper echelon (feat. t.i. & 2 chainz),2013,pop,hood feat come action strictly jeeps haze echelon nehru elder blossom nehru mobb dizzle veggies young winners chuckie makin paper feat lupe fiasco hort snow product dubstep feat scrufizzer feat totally enormous extinct dinosaurs diplo crown feat boaz beatz posner riff raff diplo revolution feat faustix imanos dizzy flosstradamus sliink crowd ctrl iamsu goin afterlife feat knight clock key krates money power logic ballin lorde million dollar bill lazer partial heroes villians remix pusha number board jewel ddfh schoolboy year skaters band breaker sleigh bell bitter rival stalley travi upper echelon feat chainz mensa yung save peso wreckaz high grade riddim,101
17907,one direction,don't forget where you belong,2013,pop,place world see face know horizon know know know know rise home live case pack take change forget horizon know know know know moon rise home forget belong home forget belong home feel proof song away age need flick page write memory feel like dream know know know know leave forget belong home forget belong home feel proof song light star sky wrong short days nights long think things matter go free home forget belong home forget belong home forget feel forget belong home forget forget belong home feel proof song home forget home feel proof song forget song forget forget song,102
17908,the wood brothers,the muse,2013,pop,edge guitar tune head stand doorway brushin hair beautiful muse underwear thinkin thinkin thank muse guitar time like sweet true thinkin thing wanna dirty tryin work things gettin drown voice keepin muse thinkin thinkin thank whiskey dirty time like true thinkin thing wanna thinkin thing wanna hospital room sheddin tear groom tiniest voice start bellow finest work today thinkin thinkin thank muse miracle right arm time like sweet true thinkin thing wanna thinkin thing wanna thinkin thing wanna,78
17909,drake,own it,2013,pop,feel guess guess guess guess bottle table water secret baby everybody guess guess guess time fuck wanna fuck wanna time talk wanna talk wanna trust time stand tall wanna standin time spend want peakin peakin weekend guess guess guess say shit shit shit shit shit shit shit shit say shit shit shit shit shit shit shit shit niggas talk bitch days shit sink niggas talk bitch days pussy quicker days straight weed liquor days cause drug kid trippin days bunch journalists searchin story exgirl searchin sorry couple bitch tryna like nigga supportin tour gettin money check nigga threats girl shit girl cause batphone workline time somethin time swear niggas talk bitch days thinkin different days break telephone single conversation time get shit switch days gonna say shit baby shit shit shit,131
17911,cage the elephant,spiderhead,2013,pop,leave dead want bullet head stand grave tell okay porcelain lips face heaven hell lose mind cause tell wait answer long wait spiders head spiders mind eye baby blind work time know gonna alright eye baby blind fuck talkin bout think mother want dead want schizophrenic wouldn change want treat cold play cool spiders head spiders mind eye baby blind work time know gonna alright eye baby blind spiders head spiders mind eye baby blind work time know gonna alright eye baby blind,83
17917,the weeknd,live for,2013,pop,get sober feel tryna slow tryna tell live lose control watch fuck night city summer camo leather boot kiss bitch club wanna threesome spend come fuck income niggas go break know get live dream afford sit say shit live shit live shit live people shit live shit live shit live people shit live shit live shit live people shit live shit live shit live people yeah shit live shit shit fake dawg shit need long think fall question seriously question tour world spend rack malls know story flaw plaques hang wall wall dawg offer strip tease look like demi hips waist city scream henny pour fuck think roll thing hoe like know chubbs hold thing catch home spring things shouldn share mean sake career tryna stunt tellin truth swear shit live people shit fake dawg shit need shit gotta talk person shit need work know work nigga champagne shit live shit live shit live people shit live shit live shit live people shit live shit live shit live people shit live shit live shit live people,176
17921,mac miller,watching movies,2013,pop,people worship idols come contact gods hoe disciples mind fuck broads life recital better remember practice throw couple bitch casket whoa think time revolution dawgs bout start riot sleep eat people diet home improvement intelligent go stupid shit strip club hoe go school london like lennox bitch look like fawcett tryna better music money share profit class get students smoke weed head start grind fuck come money hunt plant seed work watch grow ways money straight think know grind take eye throne fine matter time girl beautiful somebody introduce girl tonight bitch groupie money build better starin like movies watch movies look life like watch movies look life like watch movies look life like watch movies people worship idols come contact gods hoe disciples mind fuck broads life recital better remember practice throw couple bitch casket whoa fuck fuck bitch tank get pay roll face bitch bank fraud madoff educate erase cool kangol need stunt wish best light blunt bitch long time know wouldn heisman yeah woodson couple million tour thats book bitch gorgeous look import shore brooklyn come burgh bitch absurd fuck insure hat deserve word grind take eye throne fine matter time,194
